step,state,fitness,N,K,D,rep,condition,landscape_seed,start_fitness
0,2759,0.48066188751719263,16,0,1,0,HM_channel,1275788780,0.48066188751719263
1,6855,0.4915610279873025,16,0,1,0,HM_channel,1275788780,0.48066188751719263
2,6871,0.5258326723973575,16,0,1,0,HM_channel,1275788780,0.48066188751719263
3,6879,0.5549526847857399,16,0,1,0,HM_channel,1275788780,0.48066188751719263
4,4831,0.5757019710839799,16,0,1,0,HM_channel,1275788780,0.48066188751719263
5,5069,0.5937231922291502,16,0,1,0,HM_channel,1275788780,0.48066188751719263
6,6093,0.6109109835003325,16,0,1,0,HM_channel,1275788780,0.48066188751719263
7,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
8,14301,0.6441643977519812,16,0,1,0,HM_channel,1275788780,0.48066188751719263
9,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
10,14301,0.6441643977519812,16,0,1,0,HM_channel,1275788780,0.48066188751719263
11,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
12,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
13,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
14,22493,0.6435698522682634,16,0,1,0,HM_channel,1275788780,0.48066188751719263
15,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
16,54749,0.6375934436797943,16,0,1,0,HM_channel,1275788780,0.48066188751719263
17,54749,0.6375934436797943,16,0,1,0,HM_channel,1275788780,0.48066188751719263
18,38365,0.6392062193219185,16,0,1,0,HM_channel,1275788780,0.48066188751719263
19,38365,0.6392062193219185,16,0,1,0,HM_channel,1275788780,0.48066188751719263
20,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
21,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
22,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
23,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
24,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
25,22493,0.6435698522682634,16,0,1,0,HM_channel,1275788780,0.48066188751719263
26,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
27,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
28,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
29,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
30,21981,0.6476595912127642,16,0,1,0,HM_channel,1275788780,0.48066188751719263
31,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
32,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
33,6109,0.6451826279103875,16,0,1,0,HM_channel,1275788780,0.48066188751719263
34,22493,0.6435698522682634,16,0,1,0,HM_channel,1275788780,0.48066188751719263
35,30685,0.6425516221098571,16,0,1,0,HM_channel,1275788780,0.48066188751719263
36,30717,0.6261494215446239,16,0,1,0,HM_channel,1275788780,0.48066188751719263
37,30717,0.6261494215446239,16,0,1,0,HM_channel,1275788780,0.48066188751719263
38,30717,0.6261494215446239,16,0,1,0,HM_channel,1275788780,0.48066188751719263
39,30717,0.6261494215446239,16,0,1,0,HM_channel,1275788780,0.48066188751719263
40,30685,0.6425516221098571,16,0,1,0,HM_channel,1275788780,0.48066188751719263
41,14301,0.6441643977519812,16,0,1,0,HM_channel,1275788780,0.48066188751719263
42,13789,0.648254136696482,16,0,1,0,HM_channel,1275788780,0.48066188751719263
43,13789,0.648254136696482,16,0,1,0,HM_channel,1275788780,0.48066188751719263
44,13789,0.648254136696482,16,0,1,0,HM_channel,1275788780,0.48066188751719263
45,13789,0.648254136696482,16,0,1,0,HM_channel,1275788780,0.48066188751719263
46,13789,0.648254136696482,16,0,1,0,HM_channel,1275788780,0.48066188751719263
47,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
48,5533,0.6331640946601172,16,0,1,0,HM_channel,1275788780,0.48066188751719263
49,5533,0.6331640946601172,16,0,1,0,HM_channel,1275788780,0.48066188751719263
50,5597,0.6492723668548883,16,0,1,0,HM_channel,1275788780,0.48066188751719263
0,2759,0.48066188751719263,16,0,2,0,HM_channel,1275788780,0.48066188751719263
1,967,0.5337378024412116,16,0,2,0,HM_channel,1275788780,0.48066188751719263
2,5061,0.5646031798407678,16,0,2,0,HM_channel,1275788780,0.48066188751719263
3,13269,0.5978565940924164,16,0,2,0,HM_channel,1275788780,0.48066188751719263
4,12765,0.6310663454252997,16,0,2,0,HM_channel,1275788780,0.48066188751719263
5,12765,0.6310663454252997,16,0,2,0,HM_channel,1275788780,0.48066188751719263
6,4573,0.632084575583706,16,0,2,0,HM_channel,1275788780,0.48066188751719263
7,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
8,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
9,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
10,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
11,14301,0.6441643977519812,16,0,2,0,HM_channel,1275788780,0.48066188751719263
12,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
13,1501,0.6383732263847784,16,0,2,0,HM_channel,1275788780,0.48066188751719263
14,13789,0.648254136696482,16,0,2,0,HM_channel,1275788780,0.48066188751719263
15,13789,0.648254136696482,16,0,2,0,HM_channel,1275788780,0.48066188751719263
16,13789,0.648254136696482,16,0,2,0,HM_channel,1275788780,0.48066188751719263
17,13789,0.648254136696482,16,0,2,0,HM_channel,1275788780,0.48066188751719263
18,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
19,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
20,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
21,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
22,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
23,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
24,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
25,30173,0.6466413610543579,16,0,2,0,HM_channel,1275788780,0.48066188751719263
26,21981,0.6476595912127642,16,0,2,0,HM_channel,1275788780,0.48066188751719263
27,21981,0.6476595912127642,16,0,2,0,HM_channel,1275788780,0.48066188751719263
28,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
29,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
30,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
31,38365,0.6392062193219185,16,0,2,0,HM_channel,1275788780,0.48066188751719263
32,38877,0.6351164803774176,16,0,2,0,HM_channel,1275788780,0.48066188751719263
33,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
34,22493,0.6435698522682634,16,0,2,0,HM_channel,1275788780,0.48066188751719263
35,22493,0.6435698522682634,16,0,2,0,HM_channel,1275788780,0.48066188751719263
36,22493,0.6435698522682634,16,0,2,0,HM_channel,1275788780,0.48066188751719263
37,22493,0.6435698522682634,16,0,2,0,HM_channel,1275788780,0.48066188751719263
38,22493,0.6435698522682634,16,0,2,0,HM_channel,1275788780,0.48066188751719263
39,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
40,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
41,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
42,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
43,6109,0.6451826279103875,16,0,2,0,HM_channel,1275788780,0.48066188751719263
44,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
45,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
46,1501,0.6383732263847784,16,0,2,0,HM_channel,1275788780,0.48066188751719263
47,1501,0.6383732263847784,16,0,2,0,HM_channel,1275788780,0.48066188751719263
48,5597,0.6492723668548883,16,0,2,0,HM_channel,1275788780,0.48066188751719263
49,1501,0.6383732263847784,16,0,2,0,HM_channel,1275788780,0.48066188751719263
50,1501,0.6383732263847784,16,0,2,0,HM_channel,1275788780,0.48066188751719263
0,2759,0.48066188751719263,16,0,4,0,HM_channel,1275788780,0.48066188751719263
1,8071,0.5249671756894927,16,0,4,0,HM_channel,1275788780,0.48066188751719263
2,8079,0.554087188077875,16,0,4,0,HM_channel,1275788780,0.48066188751719263
3,8143,0.5701954602726461,16,0,4,0,HM_channel,1275788780,0.48066188751719263
4,8141,0.5901616972020923,16,0,4,0,HM_channel,1275788780,0.48066188751719263
5,16349,0.6234151114537411,16,0,4,0,HM_channel,1275788780,0.48066188751719263
6,16349,0.6234151114537411,16,0,4,0,HM_channel,1275788780,0.48066188751719263
7,6109,0.6451826279103875,16,0,4,0,HM_channel,1275788780,0.48066188751719263
8,6109,0.6451826279103875,16,0,4,0,HM_channel,1275788780,0.48066188751719263
9,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
10,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
11,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
12,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
13,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
14,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
15,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
16,14301,0.6441643977519812,16,0,4,0,HM_channel,1275788780,0.48066188751719263
17,30685,0.6425516221098571,16,0,4,0,HM_channel,1275788780,0.48066188751719263
18,30687,0.6225853851804107,16,0,4,0,HM_channel,1275788780,0.48066188751719263
19,30173,0.6466413610543579,16,0,4,0,HM_channel,1275788780,0.48066188751719263
20,30173,0.6466413610543579,16,0,4,0,HM_channel,1275788780,0.48066188751719263
21,30173,0.6466413610543579,16,0,4,0,HM_channel,1275788780,0.48066188751719263
22,30173,0.6466413610543579,16,0,4,0,HM_channel,1275788780,0.48066188751719263
23,30173,0.6466413610543579,16,0,4,0,HM_channel,1275788780,0.48066188751719263
