bin,mean_channel_index,mean_channel_potential,mean_future_gain,sem_future_gain,mean_misleading_fraction,n,decile
0,0.0,0.0,-0.0019447518402449324,0.00014967167126085483,0.0,2944,1
1,0.0,0.0,-0.0016596594737990997,0.0002460884674297007,0.0,2944,2
2,0.0,0.0,-0.004015241864837086,0.00048717071333249023,0.0,2944,3
3,0.0,0.0,-0.009986422793318761,0.0007434622607107403,0.0,2944,4
4,5.312115397763597e-07,2.821008545847403e-11,-0.012877798306970377,0.0008891139547158743,5.307404891304348e-05,2944,5
5,0.00011640569831709318,3.4765100702477186e-08,-0.0018081384719369014,0.000758155522517191,0.0007854959239130435,2944,6
6,0.0011362809713988467,7.566282143075291e-07,0.010003975047078199,0.0006995112185338919,0.002720929574275362,2944,7
7,0.0064419450390805115,8.233991463307706e-06,0.015387146095790994,0.0007021994028855205,0.006666100543478261,2944,8
8,0.03258022668641418,9.469451115979853e-05,0.02402478245074805,0.0007393453681470196,0.014209692028985508,2944,9
9,0.32962961776996874,0.015856735447583297,0.08884327485487564,0.0013910535854537757,0.04859459918478261,2944,10
