N,K,D,rep,condition,start_fitness,final_fitness,improvement,accepted_total,accepted_bad,accepted_bad_fraction,accepted_mean_distance,landscape_seed,steps
16,0,1,0,H,0.48066188751719263,0.6466413610543579,0.16597947353716525,19.0,5.0,0.2631578947368421,1.263157894736842,1275788780,50
16,0,1,0,M,0.48066188751719263,0.6271421126893968,0.14648022517220416,50.0,22.0,0.44,1.0,1275788780,50
16,0,1,0,HM_naive,0.48066188751719263,0.6373549962263722,0.15669310870917952,48.0,21.0,0.4375,1.0,1275788780,50
16,0,1,0,HM_channel,0.48066188751719263,0.6492723668548883,0.16861047933769568,30.0,11.0,0.36666666666666664,1.0666666666666667,1275788780,50
16,0,1,0,Strong_delta_HM_channel,0.48066188751719263,0.0026310058005304393,,,,,,1275788780,50
16,0,1,0,Strong_delta_HM_naive,0.48066188751719263,-0.009286364827985727,,,,,,1275788780,50
16,0,2,0,H,0.48066188751719263,0.6211854351135961,0.1405235475964035,29.0,10.0,0.3448275862068966,1.1724137931034482,1275788780,50
16,0,2,0,M,0.48066188751719263,0.5552734118819637,0.07461152436477103,50.0,24.0,0.48,1.68,1275788780,50
16,0,2,0,HM_naive,0.48066188751719263,0.6466413610543579,0.16597947353716525,40.0,19.0,0.475,1.25,1275788780,50
16,0,2,0,HM_channel,0.48066188751719263,0.6383732263847784,0.15771133886758582,22.0,8.0,0.36363636363636365,1.3181818181818181,1275788780,50
16,0,2,0,Strong_delta_HM_channel,0.48066188751719263,0.017187791271182307,,,,,,1275788780,50
16,0,2,0,Strong_delta_HM_naive,0.48066188751719263,0.025455925940761737,,,,,,1275788780,50
16,0,4,0,H,0.48066188751719263,0.620952795661139,0.1402909081439464,31.0,13.0,0.41935483870967744,1.064516129032258,1275788780,50
16,0,4,0,M,0.48066188751719263,0.554978491443555,0.07431660392636241,50.0,24.0,0.48,3.22,1275788780,50
16,0,4,0,HM_naive,0.48066188751719263,0.6256760730512781,0.14501418553408552,33.0,15.0,0.45454545454545453,1.3333333333333333,1275788780,50
16,0,4,0,HM_channel,0.48066188751719263,0.6425516221098571,0.16188973459266442,16.0,6.0,0.375,1.4375,1275788780,50
16,0,4,0,Strong_delta_HM_channel,0.48066188751719263,0.021598826448718023,,,,,,1275788780,50
16,0,4,0,Strong_delta_HM_naive,0.48066188751719263,0.004723277390139113,,,,,,1275788780,50
