scenario,N,margin_lambda,n_model_proposals,model_bias_strength,channel_samples,reps,corr_index_gain_h5,horizon,r2_baseline,r2_index,r2_channel,delta_r2_index,delta_r2_channel
default,16,0.7,12,0.012,32,8,0.5366264422345564,1,0.09933806658708755,0.19985628101959008,0.2993433530026055,0.10051821443250253,0.20000528641551796
default,16,0.7,12,0.012,32,8,0.5366264422345564,3,0.13381706442830443,0.28319398426396925,0.382271152549294,0.1493769198356648,0.24845408812098957
default,16,0.7,12,0.012,32,8,0.5366264422345564,5,0.16404937295069788,0.281181129977668,0.3582533752770478,0.1171317570269701,0.19420400232634993
default,16,0.7,12,0.012,32,8,0.5366264422345564,10,0.23038735309178682,0.31397597937462607,0.426432701959115,0.08358862628283925,0.19604534886732816
lenient margin,16,0.35,12,0.012,32,8,0.5552496529153066,1,0.17782168422560796,0.22901645351380528,0.3068681163234128,0.05119476928819733,0.12904643209780486
lenient margin,16,0.35,12,0.012,32,8,0.5552496529153066,3,0.2850608119801282,0.3691489261779154,0.42400727953129935,0.08408811419778717,0.13894646755117113
lenient margin,16,0.35,12,0.012,32,8,0.5552496529153066,5,0.3252502984975457,0.391872041647382,0.45948985438360446,0.06662174314983627,0.13423955588605874
lenient margin,16,0.35,12,0.012,32,8,0.5552496529153066,10,0.3591006497835505,0.39890501980892046,0.45651624173113237,0.03980437002536996,0.09741559194758187
more model proposals,16,0.7,20,0.012,32,8,0.5402959890512217,1,0.07608132596470407,0.2092451186515748,0.3136024584863605,0.13316379268687073,0.2375211325216564
more model proposals,16,0.7,20,0.012,32,8,0.5402959890512217,3,0.12546917315809591,0.27452665824095046,0.38119892500142416,0.14905748508285455,0.25572975184332825
more model proposals,16,0.7,20,0.012,32,8,0.5402959890512217,5,0.15068502265989137,0.2834501051626992,0.3847900896456805,0.13276508250280783,0.23410506698578915
more model proposals,16,0.7,20,0.012,32,8,0.5402959890512217,10,0.06272582921027459,0.19452853824014915,0.3240411510643495,0.13180270902987457,0.2613153218540749
smaller state,12,0.7,12,0.012,32,8,0.4964462147872122,1,0.12201882638682549,0.19441400836414946,0.25865847548044807,0.07239518197732397,0.13663964909362258
smaller state,12,0.7,12,0.012,32,8,0.4964462147872122,3,0.20372177329219932,0.2863118239100555,0.39054003349820465,0.08259005061785618,0.18681826020600534
smaller state,12,0.7,12,0.012,32,8,0.4964462147872122,5,0.18840593694543017,0.2517924627227862,0.33851115883357974,0.06338652577735604,0.15010522188814956
smaller state,12,0.7,12,0.012,32,8,0.4964462147872122,10,0.23125595472909155,0.27100164306496155,0.3731366916590545,0.03974568833587,0.14188073692996295
stricter margin,16,1.0,12,0.012,32,8,0.5605775241454156,1,0.17173051639301185,0.281754788217618,0.3484275526195696,0.11002427182460617,0.17669703622655775
stricter margin,16,1.0,12,0.012,32,8,0.5605775241454156,3,0.25335974697773866,0.3579061153623482,0.44727203647163505,0.10454636838460951,0.19391228949389638
stricter margin,16,1.0,12,0.012,32,8,0.5605775241454156,5,0.28719684071610196,0.3869383022438223,0.4800174416961429,0.09974146152772034,0.19282060098004095
stricter margin,16,1.0,12,0.012,32,8,0.5605775241454156,10,0.3368021018241042,0.4202814483801508,0.5065012493251163,0.08347934655604661,0.16969914750101212
