N,K,D,rep,condition,step,fitness,landscape_seed
16,0,1,0,H,0,0.48066188751719263,1275788780
16,0,1,0,H,1,0.5329547530724179,1275788780
16,0,1,0,H,2,0.5384636211685061,1275788780
16,0,1,0,H,3,0.548529768701476,1275788780
16,0,1,0,H,4,0.5526195076459768,1275788780
16,0,1,0,H,5,0.5807212898759528,1275788780
16,0,1,0,H,6,0.5807212898759528,1275788780
16,0,1,0,H,7,0.5916204303460627,1275788780
16,0,1,0,H,8,0.5916204303460627,1275788780
16,0,1,0,H,9,0.5916204303460627,1275788780
16,0,1,0,H,10,0.5916204303460627,1275788780
16,0,1,0,H,11,0.6123697166443028,1275788780
16,0,1,0,H,12,0.6123697166443028,1275788780
16,0,1,0,H,13,0.6466413610543579,1275788780
16,0,1,0,H,14,0.6466413610543579,1275788780
16,0,1,0,H,15,0.6476595912127642,1275788780
16,0,1,0,H,16,0.6435698522682634,1275788780
16,0,1,0,H,17,0.6435698522682634,1275788780
16,0,1,0,H,18,0.6435698522682634,1275788780
16,0,1,0,H,19,0.6435698522682634,1275788780
16,0,1,0,H,20,0.6476595912127642,1275788780
16,0,1,0,H,21,0.6492723668548883,1275788780
16,0,1,0,H,22,0.6492723668548883,1275788780
16,0,1,0,H,23,0.6492723668548883,1275788780
16,0,1,0,H,24,0.6492723668548883,1275788780
16,0,1,0,H,25,0.6492723668548883,1275788780
16,0,1,0,H,26,0.6492723668548883,1275788780
16,0,1,0,H,27,0.6492723668548883,1275788780
16,0,1,0,H,28,0.6492723668548883,1275788780
16,0,1,0,H,29,0.6492723668548883,1275788780
16,0,1,0,H,30,0.6492723668548883,1275788780
16,0,1,0,H,31,0.6492723668548883,1275788780
16,0,1,0,H,32,0.6492723668548883,1275788780
16,0,1,0,H,33,0.6466413610543579,1275788780
16,0,1,0,H,34,0.6466413610543579,1275788780
16,0,1,0,H,35,0.6476595912127642,1275788780
16,0,1,0,H,36,0.6476595912127642,1275788780
16,0,1,0,H,37,0.6476595912127642,1275788780
16,0,1,0,H,38,0.6476595912127642,1275788780
16,0,1,0,H,39,0.6476595912127642,1275788780
16,0,1,0,H,40,0.6476595912127642,1275788780
16,0,1,0,H,41,0.6315513190179931,1275788780
16,0,1,0,H,42,0.6476595912127642,1275788780
16,0,1,0,H,43,0.6476595912127642,1275788780
16,0,1,0,H,44,0.6476595912127642,1275788780
16,0,1,0,H,45,0.6466413610543579,1275788780
16,0,1,0,H,46,0.6466413610543579,1275788780
16,0,1,0,H,47,0.6466413610543579,1275788780
16,0,1,0,H,48,0.636575213521388,1275788780
16,0,1,0,H,49,0.636575213521388,1275788780
16,0,1,0,H,50,0.6466413610543579,1275788780
16,0,1,0,M,0,0.48066188751719263,1275788780
16,0,1,0,M,1,0.4642596869519596,1275788780
16,0,1,0,M,2,0.4965863155777386,1275788780
16,0,1,0,M,3,0.5257063279661209,1275788780
16,0,1,0,M,4,0.5456725648955673,1275788780
16,0,1,0,M,5,0.556571705365677,1275788780
16,0,1,0,M,6,0.5555534752072707,1275788780
16,0,1,0,M,7,0.544654334737161,1275788780
16,0,1,0,M,8,0.5789259791472159,1275788780
16,0,1,0,M,9,0.5589597422177696,1275788780
16,0,1,0,M,10,0.5630494811622704,1275788780
16,0,1,0,M,11,0.5802372724334527,1275788780
16,0,1,0,M,12,0.5911364129035626,1275788780
16,0,1,0,M,13,0.6111026498330088,1275788780
16,0,1,0,M,14,0.5911364129035626,1275788780
16,0,1,0,M,15,0.5895236372614384,1275788780
16,0,1,0,M,16,0.6094898741908846,1275788780
16,0,1,0,M,17,0.5883778501837994,1275788780
16,0,1,0,M,18,0.5899906258259235,1275788780
16,0,1,0,M,19,0.6063928263911567,1275788780
16,0,1,0,M,20,0.6275048503982419,1275788780
16,0,1,0,M,21,0.6285230805566482,1275788780
16,0,1,0,M,22,0.6184569330236783,1275788780
16,0,1,0,M,23,0.6285230805566482,1275788780
16,0,1,0,M,24,0.6244333416121474,1275788780
16,0,1,0,M,25,0.604467104682701,1275788780
16,0,1,0,M,26,0.5935679642125913,1275788780
16,0,1,0,M,27,0.6135342011420376,1275788780
16,0,1,0,M,28,0.5963464098708553,1275788780
16,0,1,0,M,29,0.6135342011420376,1275788780
16,0,1,0,M,30,0.6342834874402776,1275788780
16,0,1,0,M,31,0.6022145048716349,1275788780
16,0,1,0,M,32,0.6011962747132286,1275788780
16,0,1,0,M,33,0.6022145048716349,1275788780
16,0,1,0,M,34,0.6342834874402776,1275788780
16,0,1,0,M,35,0.6170956961690954,1275788780
16,0,1,0,M,36,0.6154829205269713,1275788780
16,0,1,0,M,37,0.626382060997081,1275788780
16,0,1,0,M,38,0.6163159134641112,1275788780
16,0,1,0,M,39,0.626382060997081,1275788780
16,0,1,0,M,40,0.6435698522682634,1275788780
16,0,1,0,M,41,0.6451826279103875,1275788780
16,0,1,0,M,42,0.6342834874402776,1275788780
16,0,1,0,M,43,0.6242173399073078,1275788780
16,0,1,0,M,44,0.6283070788518086,1275788780
16,0,1,0,M,45,0.5962380962831658,1275788780
16,0,1,0,M,46,0.6283070788518086,1275788780
16,0,1,0,M,47,0.6383732263847784,1275788780
16,0,1,0,M,48,0.6373549962263722,1275788780
16,0,1,0,M,49,0.648254136696482,1275788780
16,0,1,0,M,50,0.6271421126893968,1275788780
16,0,1,0,HM_naive,0,0.48066188751719263,1275788780
16,0,1,0,HM_naive,1,0.5129885161429716,1275788780
16,0,1,0,HM_naive,2,0.5472601605530266,1275788780
16,0,1,0,HM_naive,3,0.5680094468512666,1275788780
16,0,1,0,HM_naive,4,0.5971294592396491,1275788780
16,0,1,0,HM_naive,5,0.6170956961690954,1275788780
16,0,1,0,HM_naive,6,0.6342834874402776,1275788780
16,0,1,0,HM_naive,7,0.6332652572818713,1275788780
16,0,1,0,HM_naive,8,0.6171569850871003,1275788780
16,0,1,0,HM_naive,9,0.6332652572818713,1275788780
16,0,1,0,HM_naive,10,0.6441643977519812,1275788780
16,0,1,0,HM_naive,11,0.6451826279103875,1275788780
16,0,1,0,HM_naive,12,0.6492723668548883,1275788780
16,0,1,0,HM_naive,13,0.6492723668548883,1275788780
16,0,1,0,HM_naive,14,0.648254136696482,1275788780
16,0,1,0,HM_naive,15,0.6373549962263722,1275788780
16,0,1,0,HM_naive,16,0.648254136696482,1275788780
16,0,1,0,HM_naive,17,0.6466413610543579,1275788780
16,0,1,0,HM_naive,18,0.6466413610543579,1275788780
16,0,1,0,HM_naive,19,0.636575213521388,1275788780
16,0,1,0,HM_naive,20,0.6375934436797943,1275788780
16,0,1,0,HM_naive,21,0.6392062193219185,1275788780
16,0,1,0,HM_naive,22,0.6492723668548883,1275788780
16,0,1,0,HM_naive,23,0.6383732263847784,1275788780
16,0,1,0,HM_naive,24,0.6492723668548883,1275788780
16,0,1,0,HM_naive,25,0.6331640946601172,1275788780
16,0,1,0,HM_naive,26,0.632145864501711,1275788780
16,0,1,0,HM_naive,27,0.6305330888595868,1275788780
16,0,1,0,HM_naive,28,0.620466941326617,1275788780
16,0,1,0,HM_naive,29,0.6220797169687411,1275788780
16,0,1,0,HM_naive,30,0.6381879891635122,1275788780
16,0,1,0,HM_naive,31,0.648254136696482,1275788780
16,0,1,0,HM_naive,32,0.6441643977519812,1275788780
16,0,1,0,HM_naive,33,0.6340982502190113,1275788780
16,0,1,0,HM_naive,34,0.6441643977519812,1275788780
16,0,1,0,HM_naive,35,0.648254136696482,1275788780
16,0,1,0,HM_naive,36,0.6466413610543579,1275788780
16,0,1,0,HM_naive,37,0.648254136696482,1275788780
16,0,1,0,HM_naive,38,0.6492723668548883,1275788780
16,0,1,0,HM_naive,39,0.6451826279103875,1275788780
16,0,1,0,HM_naive,40,0.6492723668548883,1275788780
16,0,1,0,HM_naive,41,0.6451826279103875,1275788780
16,0,1,0,HM_naive,42,0.6441643977519812,1275788780
16,0,1,0,HM_naive,43,0.6332652572818713,1275788780
16,0,1,0,HM_naive,44,0.6373549962263722,1275788780
16,0,1,0,HM_naive,45,0.635742220584248,1275788780
16,0,1,0,HM_naive,46,0.6367604507426543,1275788780
16,0,1,0,HM_naive,47,0.6476595912127642,1275788780
16,0,1,0,HM_naive,48,0.6466413610543579,1275788780
16,0,1,0,HM_naive,49,0.635742220584248,1275788780
16,0,1,0,HM_naive,50,0.6373549962263722,1275788780
16,0,1,0,HM_channel,0,0.48066188751719263,1275788780
16,0,1,0,HM_channel,1,0.4915610279873025,1275788780
16,0,1,0,HM_channel,2,0.5258326723973575,1275788780
16,0,1,0,HM_channel,3,0.5549526847857399,1275788780
16,0,1,0,HM_channel,4,0.5757019710839799,1275788780
16,0,1,0,HM_channel,5,0.5937231922291502,1275788780
16,0,1,0,HM_channel,6,0.6109109835003325,1275788780
16,0,1,0,HM_channel,7,0.6451826279103875,1275788780
16,0,1,0,HM_channel,8,0.6441643977519812,1275788780
16,0,1,0,HM_channel,9,0.6451826279103875,1275788780
16,0,1,0,HM_channel,10,0.6441643977519812,1275788780
16,0,1,0,HM_channel,11,0.6451826279103875,1275788780
